1,Maegan Jellybrand,Maywood,203,396
2,Bertha Keasey,Oak Valley,772,637
3,Ruben Winters,Debra,708,636
4,Salli Brittlebank,Stang,414,580
5,Bev Allnutt,Spaight,363,329
6,Heath Shakespear,Atwood,322,225
7,Reena Manns,Mandrake,211,89
8,Claus Buzek,Rusk,328,28
9,Aurelia Magarrell,International,272,170
10,Phedra Flucker,Glacier Hill,713,757
11,Mireielle Wheal,Armistice,809,920
12,Lyndell Eborall,Vernon,542,287
13,Taber Drain,Mayer,898,975
14,Elianora Kealey,Gale,730,378
15,Morgana McMechan,Oriole,733,665
16,Roddy Lamb-shine,Dwight,78,450
17,Moselle Grinyer,Holy Cross,817,722
18,Hayes Dutt,Carioca,833,981
19,Wilone Kerton,Springs,803,673
20,Ulick Newiss,Briar Crest,313,981
21,Krystle Redley,Bartelt,934,721
22,Lauren Durtnell,Oneill,789,773
23,Kippar Rihosek,Nobel,799,619
24,Ximenez Moralis,Pawling,284,183
25,Orbadiah Pettigrew,Steensland,587,107
26,Kimble Hanmore,Becker,353,174
27,Persis Kiffe,American Ash,674,85
28,Yvon Fenlon,Dapin,759,759
29,Josefina Albers,Hermina,546,362
30,Sybila Benbow,Lakewood Gardens,158,540
31,Zabrina Marzele,Old Shore,826,919
32,Margareta Yakobowitch,Roth,810,552
33,Adolphe McArte,Saint Paul,868,776
34,Roobbie Lilbourne,Pond,473,859
35,Brandi O'Mahoney,Corben,6,139
36,Ethe Neesham,Columbus,432,512
37,Vallie Andrysek,American Ash,652,222
38,Pierce Orteaux,Hooker,502,419
39,Sigvard Moscrop,Bayside,382,440
40,Brockie Tanman,Fieldstone,772,359
41,Allyce Farnan,Mccormick,742,602
42,Rhodie Showell,Ronald Regan,918,531
43,Howey Orneblow,Merry,880,984
44,Vincenz McDonell,Thierer,920,372
45,Grove Jessett,Barby,733,896
46,Malissa Berge,Aberg,967,27
47,Heywood Lennon,Tennyson,603,100
48,Jaquelyn Browse,Bartelt,281,980
49,Brenden Poytress,Mallard,430,486
50,Tammie McIlwrath,Kinsman,747,137
51,Nobie Luetkemeyer,Schiller,596,585
52,Jamaal De Coursey,Goodland,337,278
53,Fitzgerald Puller,Elgar,352,112
54,Giacobo Sieur,Macpherson,435,401
55,Boot Grimmett,Browning,215,381
56,Jackquelin Powland,Chive,953,32
57,Alberto Burras,Nevada,150,244
58,Isabelita Tuerena,Hansons,276,580
59,Carmina Meade,Maple Wood,342,990
60,Sebastiano Marnane,Bunting,567,123
61,Perren Steel,Division,152,666
62,Sharity Domico,Petterle,724,889
63,Arty McLinden,Anniversary,568,371
64,Lila Stockley,North,394,60
65,Onfroi Whines,Southridge,567,993
66,Alleen Joselovitch,Coleman,994,85
67,Dinnie Goldsmith,Lien,320,811
68,Rois Umfrey,Walton,1000,855
69,Chickie Lequeux,Clarendon,468,825
70,Merrili Breedy,Macpherson,346,938
71,Billie Ramshay,Becker,51,829
72,Maridel Rudman,Village,193,220
73,Gerta Lafflina,Tennessee,260,199
74,Gaelan Wright,Kings,221,899
75,Doralynne Rosenauer,6th,722,885
76,Diego Scollard,Bay,760,388
77,Cos Blades,Fulton,530,474
78,Ulrikaumeko Mawby,Havey,763,819
79,Clemmie Whardley,Luster,903,708
80,Parsifal Braywood,Havey,63,877
81,Patty de Chastelain,Service,48,189
82,Brendis Bridge,Butternut,564,951
83,Theda Capps,Emmet,25,987
84,Pietrek Ratt,Harbort,224,394
85,Artemas Fleisch,Kim,339,156
86,Casi Isson,Northfield,971,712
87,Alleen Tubritt,Towne,278,363
88,Angeli Jordeson,Lotheville,203,267
89,Greggory Fulstow,Brentwood,806,350
90,Colan Mattecot,Straubel,773,15
91,Rene Rosterne,Judy,424,645
92,Tommy Scamerdine,2nd,907,789
93,Lonee Menel,South,530,676
