1,Maegan Jellybrand,Maywood,203,396
2,Bertha Keasey,Oak Valley,772,637
3,Ruben Winters,Debra,708,636
4,Salli Brittlebank,Stang,414,580
5,Bev Allnutt,Spaight,363,329
6,Heath Shakespear,Atwood,322,225
7,Reena Manns,Mandrake,211,89
8,Claus Buzek,Rusk,328,28
9,Aurelia Magarrell,International,272,170
10,Phedra Flucker,Glacier Hill,713,757
11,Mireielle Wheal,Armistice,809,920
12,Lyndell Eborall,Vernon,542,287
13,Taber Drain,Mayer,898,975
14,Elianora Kealey,Gale,730,378
15,Morgana McMechan,Oriole,733,665
16,Roddy Lamb-shine,Dwight,78,450
17,Moselle Grinyer,Holy Cross,817,722
18,Hayes Dutt,Carioca,833,981
19,Wilone Kerton,Springs,803,673
20,Ulick Newiss,Briar Crest,313,981
